mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
62.496318864822385,1.0737242257858162,3.073878049850464,0.33525222089570367,1,2,100,"{'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.7437302177199121,0.7427197033597515,0.74491611060539,0.7433794606692778,0.7429535413935077,0.7435398067495679,0.0007710325731572408,27
122.08743500709534,1.6558311737284324,5.7248307228088375,0.09583290369627355,1,2,200,"{'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.7441477856373339,0.7431873794272639,0.7449578673971321,0.743112217202128,0.7433210011608388,0.7437452501649393,0.0007105509225646507,26
180.27221469879152,1.1906272415895571,8.516569089889526,0.18823858778810984,1,2,300,"{'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}",0.7445319481213619,0.7436049473446856,0.7449495160387837,0.7434045147443231,0.7423772976674656,0.743773644783324,0.000902463100781156,25
60.89818110466003,0.680055747203014,2.9425106048583984,0.07814042989718363,1,5,100,"{'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",0.7442229478624698,0.7435631905529434,0.7458848681738085,0.7439724071120167,0.7437970285866996,0.7442880884575876,0.0008270695545312171,22
120.57148756980897,1.6673827430757358,5.609114074707032,0.08958963560422546,1,5,200,"{'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",0.744398326387787,0.7431873794272639,0.7448660024552993,0.7445068940463166,0.743496379686156,0.7440909964005644,0.0006384590243946677,24
178.73617868423463,1.1395846539289,8.273109960556031,0.05692171692726861,1,5,300,"{'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 300}",0.7448325970219056,0.7435798932696404,0.7448743538136477,0.7438304340200934,0.7437636231533059,0.7441761802557185,0.0005592193272570794,23
58.91593909263611,0.42318524746582514,2.823338031768799,0.036634213383580215,1,10,100,"{'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 100}",0.7460518953407772,0.7446655698549369,0.7457930032319757,0.7443565695960448,0.7448660024552993,0.7451466080958067,0.0006590401829538085,20
117.07068266868592,0.30344103520069843,5.505552053451538,0.08165966813764414,1,10,200,"{'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 200}",0.7457011382901428,0.7450914891307071,0.7457094896484914,0.7446321644215431,0.7444150291044839,0.7451098621190736,0.0005330077409571558,21
177.05374846458434,0.5049481212928749,8.190955591201782,0.10555057946934017,1,10,300,"{'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 300}",0.7455007056897804,0.7444317318211807,0.7462022197910491,0.7453921380312508,0.7442396505791667,0.7451532891824856,0.0007257248716705823,19
59.02235331535339,0.361124043107731,2.839736986160278,0.06366094515142968,2,2,100,"{'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",0.7458097059486726,0.7450747864140103,0.7460769494158225,0.7453754353145539,0.7443148128043027,0.7453303379794723,0.0006141423353635426,17
117.73234696388245,0.5912073764153641,5.417132186889648,0.017503256944451085,2,2,200,"{'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",0.7458347600237178,0.7448242456635572,0.745934976323899,0.7452835703727211,0.7448158943052088,0.7453386893378209,0.0004780479757513754,16
177.29645709991456,0.7372688705580827,8.063105344772339,0.060338104178884945,2,2,300,"{'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 300}",0.7456176247066585,0.7452501649393274,0.7469788961174535,0.744782488871815,0.7451833540725399,0.7455625057415588,0.0007561665000757605,13
59.80834665298462,0.38695041336785013,2.852119302749634,0.03859490062375381,2,5,100,"{'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.7459099222488538,0.7456176247066585,0.746394301033063,0.7446655698549369,0.7446655698549369,0.7454505975396899,0.0006873122257047253,14
118.39646167755127,0.5596329384018114,5.417093181610108,0.03513705099056961,2,5,200,"{'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",0.7457178410068398,0.7450664350556618,0.7466615445002129,0.7450831377723587,0.7443315155209995,0.7453720947712146,0.0007799936215047751,15
176.68729000091554,0.928298515898072,8.156155395507813,0.13178030494882578,2,5,300,"{'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 300}",0.7461020034908677,0.7447741375134665,0.7459600303989444,0.7450580836973134,0.7446321644215431,0.745305283904427,0.000609880208035374,18
58.98863801956177,0.23077527181154084,2.79498929977417,0.04768095646203284,2,10,100,"{'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100}",0.746277382016185,0.7452668676560242,0.7466197877084708,0.7454756516147352,0.7447991915885118,0.7456877761167855,0.0006675363547014273,12
117.15794467926025,0.3892517811922645,5.354452133178711,0.03214470842837938,2,10,200,"{'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 200}",0.7465529768416833,0.7450747864140103,0.7467951662337879,0.7455007056897804,0.7449912728305259,0.7457829816019576,0.0007517224609791678,11
176.47071752548217,0.6147335803041702,7.912909126281738,0.02654129724203018,2,10,300,"{'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 300}",0.7465195714082895,0.7455925706316132,0.7466114363501224,0.7456009219899616,0.7450079755472228,0.7458664951854419,0.0006105842520472002,10
58.71122169494629,0.42447565214671856,2.7182641983032227,0.021676313760065846,4,2,100,"{'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 100}",0.7472127341512097,0.7468786798172723,0.7474465721849659,0.7464193551081083,0.7460936521325193,0.746810198678815,0.0004975727810003777,9
117.54656314849854,2.530160079440116,5.353512239456177,0.1473902747752972,4,2,200,"{'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 200}",0.747296247734694,0.7470123015508472,0.7480311672693564,0.7468953825339691,0.7459683817572929,0.747040696169232,0.0006660510652781217,5
174.4394640445709,0.8508154584642085,7.829735374450683,0.09797080283856104,4,2,300,"{'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 300}",0.7475133830517534,0.7465112200499411,0.7480478699860532,0.7470290042675441,0.7459767331156413,0.7470156420941866,0.000727625246082992,6
58.34150223731994,0.39560573298208696,2.7280393123626707,0.017547301177275737,4,5,100,"{'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 100}",0.7474716262600112,0.7471041664926801,0.7477305183688127,0.7462439765827912,0.7455257597648257,0.7468152094938242,0.0008174542307693238,8
115.46492385864258,0.8408570034531831,5.284763431549072,0.08512344459185127,4,5,200,"{'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 200}",0.7477138156521158,0.7469371393257114,0.7473463558847847,0.7470624097009378,0.7461938684327005,0.74705071779925,0.0005048422025279888,3
174.56233596801758,0.8238540978062764,7.790467071533203,0.029358101707728772,4,5,300,"{'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 300}",0.747179328717816,0.746586382275077,0.7474215181099205,0.7474465721849659,0.746586382275077,0.7470440367125712,0.0003851561000114723,4
58.21166234016418,0.38681749383076786,2.7429819107055664,0.04560753415917607,4,10,100,"{'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 100}",0.7479309509691752,0.7470123015508472,0.7472210855095581,0.7470874637759831,0.7464360578248052,0.7471375719260738,0.0004789050746343196,1
116.70708889961243,0.8160048433880597,5.29574818611145,0.09067878506336767,4,10,200,"{'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 200}",0.7468285716671816,0.7471125178510285,0.7477472210855095,0.7468369230255301,0.7459683817572929,0.7468987230773084,0.0005727010587840957,7
175.0714638710022,1.692354646298081,7.757180309295654,0.0633443758099078,4,10,300,"{'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 300}",0.7476135993519346,0.7466865985752583,0.7474632749016628,0.7472294368679065,0.746260679299488,0.7470507177992501,0.0005051184318537112,2
